WEBSITE_ID,ARM,PRICE_BIN,PERC_MAKEUP
74058,case0,$0.04 - $0.06,100.000000
74058,case1,$0.04 - $0.06,62.567400
74058,case1,$0.07 - $0.15,10.358100
74058,case1,$0.16 - $0.30,4.499900
74058,case1,$0.31 - $0.40,3.384200
74058,case1,$0.41 - $0.60,7.729400
74058,case1,$0.61 - $1.50,11.461000
74058,case2,$0.04 - $0.06,70.084200
74058,case2,$0.07 - $0.15,8.490300
74058,case2,$0.16 - $0.30,2.679900
74058,case2,$0.31 - $0.40,6.835800
74058,case2,$0.41 - $0.60,3.094700
74058,case2,$0.61 - $1.50,8.815100
74058,case3,$0.04 - $0.06,63.369300
74058,case3,$0.07 - $0.15,9.565800
74058,case3,$0.16 - $0.30,4.061700
74058,case3,$0.31 - $0.40,0.578700
74058,case3,$0.41 - $0.60,8.746300
74058,case3,$0.61 - $1.50,13.678200
74804,case0,$0.04 - $0.06,100.000000
74804,case1,$0.04 - $0.06,17.933500
74804,case1,$0.07 - $0.15,17.293800
74804,case1,$0.16 - $0.30,7.732300
74804,case1,$0.31 - $0.40,57.040400
74804,case2,$0.04 - $0.06,15.807500
74804,case2,$0.07 - $0.15,11.360800
74804,case2,$0.16 - $0.30,14.163200
74804,case2,$0.31 - $0.40,18.722600
74804,case2,$0.41 - $0.60,39.946000
74804,case3,$0.04 - $0.06,8.819500
74804,case3,$0.07 - $0.15,15.755100
74804,case3,$0.16 - $0.30,12.599300
74804,case3,$0.31 - $0.40,5.009700
74804,case3,$0.41 - $0.60,57.816400
75022,case0,$0.04 - $0.06,45.037900
75022,case0,$0.16 - $0.30,54.962100
75022,case1,$0.04 - $0.06,33.556600
75022,case1,$0.07 - $0.15,7.938700
75022,case1,$0.16 - $0.30,58.286600
75022,case1,$0.31 - $0.40,0.156100
75022,case1,$0.41 - $0.60,0.009500
75022,case1,$0.61 - $1.50,0.052500
75022,case2,$0.04 - $0.06,34.304000
75022,case2,$0.07 - $0.15,2.617500
75022,case2,$0.16 - $0.30,60.843500
75022,case2,$0.31 - $0.40,2.069700
75022,case2,$0.41 - $0.60,0.105500
75022,case2,$0.61 - $1.50,0.059800
75022,case3,$0.04 - $0.06,32.052400
75022,case3,$0.07 - $0.15,2.750900
75022,case3,$0.16 - $0.30,62.941000
75022,case3,$0.31 - $0.40,1.802400
75022,case3,$0.41 - $0.60,0.390000
75022,case3,$0.61 - $1.50,0.063300
75188,case0,$0.04 - $0.06,60.251700
75188,case0,$0.16 - $0.30,39.748300
75188,case1,$0.04 - $0.06,16.232000
75188,case1,$0.07 - $0.15,2.888000
75188,case1,$0.16 - $0.30,24.471200
75188,case1,$0.31 - $0.40,19.503300
75188,case1,$0.41 - $0.60,8.339300
75188,case1,$0.61 - $1.50,28.566100
75188,case2,$0.04 - $0.06,16.341300
75188,case2,$0.07 - $0.15,0.754600
75188,case2,$0.16 - $0.30,13.832400
75188,case2,$0.31 - $0.40,13.327100
75188,case2,$0.41 - $0.60,20.897700
75188,case2,$0.61 - $1.50,34.846900
75188,case3,$0.04 - $0.06,16.396600
75188,case3,$0.07 - $0.15,0.509800
75188,case3,$0.16 - $0.30,11.206300
75188,case3,$0.31 - $0.40,12.849900
75188,case3,$0.41 - $0.60,18.261300
75188,case3,$0.61 - $1.50,40.776100
75190,case0,$0.04 - $0.06,66.351600
75190,case0,$0.16 - $0.30,33.648400
75190,case1,$0.04 - $0.06,5.947800
75190,case1,$0.07 - $0.15,0.002000
75190,case1,$0.16 - $0.30,27.209300
75190,case1,$0.31 - $0.40,16.941700
75190,case1,$0.41 - $0.60,32.314500
75190,case1,$0.61 - $1.50,17.584600
75190,case2,$0.04 - $0.06,4.803300
75190,case2,$0.07 - $0.15,0.147600
75190,case2,$0.16 - $0.30,9.733000
75190,case2,$0.31 - $0.40,18.908500
75190,case2,$0.41 - $0.60,28.991900
75190,case2,$0.61 - $1.50,37.415700
75190,case3,$0.04 - $0.06,4.025300
75190,case3,$0.07 - $0.15,0.158200
75190,case3,$0.16 - $0.30,6.855800
75190,case3,$0.31 - $0.40,12.791200
75190,case3,$0.41 - $0.60,27.671100
75190,case3,$0.61 - $1.50,48.498500
75195,case0,$0.04 - $0.06,37.264300
75195,case0,$0.16 - $0.30,62.735700
75195,case1,$0.04 - $0.06,1.082400
75195,case1,$0.07 - $0.15,2.389000
75195,case1,$0.16 - $0.30,30.717100
75195,case1,$0.31 - $0.40,4.013900
75195,case1,$0.41 - $0.60,15.904800
75195,case1,$0.61 - $1.50,45.892900
75195,case2,$0.04 - $0.06,0.295800
75195,case2,$0.07 - $0.15,1.796500
75195,case2,$0.16 - $0.30,17.011000
75195,case2,$0.31 - $0.40,15.983800
75195,case2,$0.41 - $0.60,9.845500
75195,case2,$0.61 - $1.50,55.067500
75195,case3,$0.04 - $0.06,0.547800
75195,case3,$0.07 - $0.15,2.035300
75195,case3,$0.16 - $0.30,19.752600
75195,case3,$0.31 - $0.40,7.429200
75195,case3,$0.41 - $0.60,16.418500
75195,case3,$0.61 - $1.50,53.816500
75946,case0,$0.04 - $0.06,74.470200
