WEBSITE_ID,DATE_ET,Z_REV_LIFETIME,Z_REV_30D,Z_REV_60D,Z_REV_120D,Z_REV_180D,Z_RPS_30D,Z_RPS_60D,Z_RPS_120D,Z_RPS_180D,Z_SESSIONS_30D,Z_US_CHROME_MIX_30D,Z_DIRECT_MIX_30D
74058,2026-03-16,-0.4235005364,-0.5124846589,-0.597543998,-0.5342905109,-0.7622878023,-1.730703786,-1.828277,-1.293563542,-1.512515808,0.5843151498,-0.02025882307,0.5613912046
74058,2026-03-15,-1.124384906,-1.607378427,-1.696861779,-1.290384932,-1.439730566,-1.596863537,-1.627282682,-1.155120707,-1.379253674,-1.416329538,-1.18958801,-0.3265524801
74058,2026-03-14,-1.182661235,-1.842408749,-1.859454121,-1.360969153,-1.500418535,-1.757935751,-1.685042721,-1.187898981,-1.398608941,-1.665086649,-1.714735873,-0.1657054293
74058,2026-03-13,-0.221877468,-0.458323175,-0.3433527567,-0.378634059,-0.5846099729,-0.7647540163,-0.5608112163,-0.6152864505,-0.7940686062,-0.09623815721,0.4722464604,0.6680101481
74058,2026-03-12,0.1846990001,0.1345622265,0.2937636778,0.03039205253,-0.2061596711,-0.8894775161,-0.6373247703,-0.6858495307,-0.8662870297,0.853955344,0.9472518217,0.5543363457
74058,2026-03-11,-0.05968489179,-0.1853468311,-0.06492052319,-0.2318522864,-0.4445494757,-1.29129426,-1.002092917,-0.8974920427,-1.081258062,0.6454480055,0.636368484,0.4923398493
74058,2026-03-10,0.2379394967,0.2809739573,0.376814275,0.07367154141,-0.1722788324,-0.6230138359,-0.3406834478,-0.5302752936,-0.7058547055,0.8240433087,0.4588372252,1.163119919
74058,2026-03-09,0.0854556791,0.03319900814,0.1566621845,-0.07647979951,-0.3228733558,-0.7482892755,-0.4070802826,-0.5762286185,-0.7562790587,0.5737970904,0.3092708321,0.9256436115
74058,2026-03-08,-1.086490709,-1.711126938,-1.613117498,-1.271487862,-1.433090732,-1.334814208,-0.8890636966,-0.8661783833,-1.054410691,-1.702656927,-1.197118303,0.4402246193
74058,2026-03-07,-1.042040434,-1.793932945,-1.568400163,-1.240220485,-1.395744773,-1.545354657,-0.9846539407,-0.9604052004,-1.140183668,-1.656837465,-1.493195787,0.1991737793
74058,2026-03-06,0.4097873111,0.3784466567,0.6512031321,0.1788449128,-0.02742046587,0.4880776891,0.8267897912,0.06315243209,-0.03997844624,0.2211082776,1.240843344,0.8213947422
74058,2026-03-05,0.4987320399,0.5395768736,0.8024493731,0.2544823,0.04837532613,0.0331012089,0.4155980479,-0.2126520712,-0.3329096474,0.693991793,1.119635401,0.8434491748
74058,2026-03-04,0.3477231091,0.3605739905,0.6140597991,0.09952524633,-0.09918303172,0.1822054206,0.5326140665,-0.1589923131,-0.2751802028,0.3824457784,1.506613361,0.6521677207
74058,2026-03-03,0.1306650008,0.0923174467,0.3406684636,-0.1044158922,-0.3058959167,-0.7382272266,-0.2075510964,-0.6758984205,-0.8323086477,0.6580048097,1.285872057,0.6922326847
74058,2026-03-02,-0.1693144792,-0.3623124049,-0.04387326209,-0.3887236259,-0.5899389945,-1.61026228,-0.8384595914,-1.110323208,-1.298810489,0.6297400697,0.5090504125,0.5730175003
74058,2026-03-01,-1.144822144,-1.866594655,-1.365253538,-1.349989436,-1.504864997,-2.429039353,-1.31330246,-1.437804784,-1.619405602,-1.385006026,-1.257718181,1.262721037
74058,2026-02-28,-1.1583305,-2.084820803,-1.413394029,-1.384461168,-1.521518613,-2.344458008,-1.094416731,-1.292015145,-1.446600134,-1.712345051,-1.684652225,0.3220027956
74058,2026-02-27,0.2908345626,0.141955677,0.5841970849,0.004345722983,-0.158297576,0.3869796245,0.8148621365,-0.01486433815,-0.0778099,-0.007502487661,1.125100003,5.901451618
74058,2026-02-26,0.8505698251,1.063232456,1.392466546,0.5261293058,0.3630851641,0.4450762438,0.8281324467,-0.01720737743,-0.07541581054,1.042588659,1.041294186,1.356586097
74058,2026-02-25,0.7492224819,0.9593472261,1.29691636,0.4198267409,0.2678751872,0.4611645722,0.8218322755,-0.04029865987,-0.09715953737,0.9342570576,0.697930559,0.7012397668
