DATE_ET,WEBSITE_ID,PRICE_FLOOR,COUNTRY_GROUP,AUCTIONS,IMPS,PERC_MAKEUP
2026-02-28,74058,0.04,GDPR,817,659,0.008274
2026-02-28,74058,0.05,GDPR,65,30,0.000658
2026-02-28,74058,0.06,GDPR,156,128,0.001580
2026-02-28,74058,0.08,GDPR,35,4,0.000354
2026-02-28,74058,0.09,GDPR,908,369,0.009196
2026-02-28,74058,0.1,GDPR,1209,1046,0.012244
2026-02-28,74058,0.11,GDPR,6049,4820,0.061261
2026-02-28,74058,0.12,GDPR,666,551,0.006745
2026-02-28,74058,0.13,GDPR,682,620,0.006907
2026-02-28,74058,0.16,GDPR,12504,10000,0.126633
2026-02-28,74058,0.17,GDPR,435,411,0.004405
2026-02-28,74058,0.18,GDPR,5385,4844,0.054536
2026-02-28,74058,0.19,GDPR,2413,2188,0.024437
2026-02-28,74058,0.2,GDPR,526,467,0.005327
2026-02-28,74058,0.21,GDPR,222,193,0.002248
2026-02-28,74058,0.22,GDPR,6059,4819,0.061362
2026-02-28,74058,0.23,GDPR,76,74,0.000770
2026-02-28,74058,0.24,GDPR,73,42,0.000739
2026-02-28,74058,0.25,GDPR,46684,38077,0.472788
2026-02-28,74058,0.26,GDPR,7229,6202,0.073211
2026-02-28,74058,0.32,GDPR,1613,1354,0.016336
2026-02-28,74058,0.34,GDPR,87,85,0.000881
2026-02-28,74058,0.36,GDPR,650,622,0.006583
2026-02-28,74058,0.38,GDPR,303,212,0.003069
2026-02-28,74058,0.4,GDPR,27,25,0.000273
2026-02-28,74058,0.42,GDPR,19,15,0.000192
2026-02-28,74058,0.44,GDPR,502,449,0.005084
2026-02-28,74058,0.5,GDPR,2761,2190,0.027962
2026-02-28,74058,0.52,GDPR,586,476,0.005935
2026-02-28,74058,0.56,GDPR,1,1,0.000010
2026-02-28,74058,0.04,Other,17682,7005,0.017784
2026-02-28,74058,0.05,Other,138981,86776,0.139783
2026-02-28,74058,0.06,Other,714765,473518,0.718891
2026-02-28,74058,0.07,Other,55705,41963,0.056027
2026-02-28,74058,0.08,Other,3510,2318,0.003530
2026-02-28,74058,0.09,Other,9057,6203,0.009109
2026-02-28,74058,0.1,Other,23993,16578,0.024131
2026-02-28,74058,0.11,Other,24,13,0.000024
2026-02-28,74058,0.12,Other,24107,14667,0.024246
2026-02-28,74058,0.13,Other,1,0,0.000001
2026-02-28,74058,0.14,Other,2111,1612,0.002123
2026-02-28,74058,0.15,Other,1,0,0.000001
2026-02-28,74058,0.16,Other,361,246,0.000363
2026-02-28,74058,0.17,Other,57,56,0.000057
2026-02-28,74058,0.18,Other,415,271,0.000417
2026-02-28,74058,0.19,Other,14,7,0.000014
2026-02-28,74058,0.2,Other,2210,1055,0.002223
2026-02-28,74058,0.25,Other,19,18,0.000019
2026-02-28,74058,0.29,Other,180,178,0.000181
2026-02-28,74058,0.31,Other,60,29,0.000060
2026-02-28,74058,0.34,Other,145,145,0.000146
2026-02-28,74058,0.46,Other,69,68,0.000069
2026-02-28,74058,0.5,Other,22,22,0.000022
2026-02-28,74058,0.51,Other,636,469,0.000640
2026-02-28,74058,0.52,Other,39,39,0.000039
2026-02-28,74058,0.58,Other,18,18,0.000018
2026-02-28,74058,0.62,Other,3,3,0.000003
2026-02-28,74058,0.68,Other,1,1,0.000001
2026-02-28,74058,0.92,Other,3,2,0.000003
2026-02-28,74058,1.02,Other,71,23,0.000071
2026-02-28,74058,1.04,Other,1,1,0.000001
2026-02-28,74058,0.04,TIER_1,455,426,0.006010
2026-02-28,74058,0.05,TIER_1,375,370,0.004954
2026-02-28,74058,0.06,TIER_1,1512,1232,0.019973
2026-02-28,74058,0.07,TIER_1,234,225,0.003091
2026-02-28,74058,0.08,TIER_1,1,1,0.000013
2026-02-28,74058,0.09,TIER_1,3,3,0.000040
2026-02-28,74058,0.1,TIER_1,15,14,0.000198
2026-02-28,74058,0.11,TIER_1,3,3,0.000040
2026-02-28,74058,0.12,TIER_1,107,56,0.001413
2026-02-28,74058,0.13,TIER_1,2,2,0.000026
2026-02-28,74058,0.14,TIER_1,4,4,0.000053
2026-02-28,74058,0.16,TIER_1,150,135,0.001981
2026-02-28,74058,0.17,TIER_1,834,784,0.011017
2026-02-28,74058,0.18,TIER_1,9,9,0.000119
2026-02-28,74058,0.2,TIER_1,256,238,0.003382
2026-02-28,74058,0.23,TIER_1,5,4,0.000066
2026-02-28,74058,0.25,TIER_1,559,546,0.007384
2026-02-28,74058,0.27,TIER_1,448,418,0.005918
2026-02-28,74058,0.28,TIER_1,166,160,0.002193
2026-02-28,74058,0.29,TIER_1,5026,4965,0.066393
2026-02-28,74058,0.3,TIER_1,149,145,0.001968
2026-02-28,74058,0.31,TIER_1,1780,1732,0.023514
2026-02-28,74058,0.32,TIER_1,9,9,0.000119
2026-02-28,74058,0.34,TIER_1,11353,10784,0.149972
2026-02-28,74058,0.37,TIER_1,542,531,0.007160
2026-02-28,74058,0.38,TIER_1,47,43,0.000621
2026-02-28,74058,0.39,TIER_1,270,256,0.003567
2026-02-28,74058,0.4,TIER_1,37,33,0.000489
2026-02-28,74058,0.46,TIER_1,4918,4691,0.064966
2026-02-28,74058,0.5,TIER_1,1434,1380,0.018943
2026-02-28,74058,0.51,TIER_1,37202,35269,0.491433
2026-02-28,74058,0.52,TIER_1,2781,2648,0.036737
2026-02-28,74058,0.54,TIER_1,19,17,0.000251
2026-02-28,74058,0.56,TIER_1,4,4,0.000053
2026-02-28,74058,0.58,TIER_1,291,266,0.003844
2026-02-28,74058,0.6,TIER_1,5,5,0.000066
2026-02-28,74058,0.62,TIER_1,106,101,0.001400
2026-02-28,74058,0.63,TIER_1,15,14,0.000198
2026-02-28,74058,0.68,TIER_1,1364,1052,0.018018
2026-02-28,74058,0.92,TIER_1,564,419,0.007450
2026-02-28,74058,1,TIER_1,149,113,0.001968
2026-02-28,74058,1.02,TIER_1,2226,1528,0.029405
2026-02-28,74058,1.04,TIER_1,272,203,0.003593
2026-02-28,74058,0.04,USA,2487,2382,0.010915
2026-02-28,74058,0.09,USA,4,4,0.000018
2026-02-28,74058,0.14,USA,219,208,0.000961
2026-02-28,74058,0.16,USA,19,18,0.000083
2026-02-28,74058,0.18,USA,5,5,0.000022
2026-02-28,74058,0.21,USA,30,0,0.000132
2026-02-28,74058,0.24,USA,1412,1398,0.006197
2026-02-28,74058,0.28,USA,2,2,0.000009
2026-02-28,74058,0.3,USA,253,250,0.001110
2026-02-28,74058,0.32,USA,1,1,0.000004
2026-02-28,74058,0.34,USA,3,3,0.000013
2026-02-28,74058,0.35,USA,37,30,0.000162
2026-02-28,74058,0.37,USA,114,78,0.000500
2026-02-28,74058,0.39,USA,1245,1093,0.005464
2026-02-28,74058,0.4,USA,1,1,0.000004
2026-02-28,74058,0.41,USA,546,541,0.002396
2026-02-28,74058,0.42,USA,91,68,0.000399
2026-02-28,74058,0.44,USA,80,69,0.000351
2026-02-28,74058,0.45,USA,19,15,0.000083
2026-02-28,74058,0.46,USA,412,410,0.001808
2026-02-28,74058,0.48,USA,20,20,0.000088
2026-02-28,74058,0.5,USA,29,28,0.000127
2026-02-28,74058,0.51,USA,7527,7299,0.033036
2026-02-28,74058,0.53,USA,2,2,0.000009
2026-02-28,74058,0.54,USA,1,1,0.000004
2026-02-28,74058,0.55,USA,13,12,0.000057
2026-02-28,74058,0.59,USA,55,48,0.000241
2026-02-28,74058,0.6,USA,24,24,0.000105
2026-02-28,74058,0.61,USA,904,875,0.003968
2026-02-28,74058,0.65,USA,93,92,0.000408
2026-02-28,74058,0.66,USA,2242,2183,0.009840
2026-02-28,74058,0.67,USA,4,4,0.000018
2026-02-28,74058,0.7,USA,194554,189144,0.853891
2026-02-28,74058,0.74,USA,76,65,0.000334
2026-02-28,74058,0.78,USA,166,130,0.000729
2026-02-28,74058,0.82,USA,4,4,0.000018
2026-02-28,74058,0.84,USA,2,2,0.000009
2026-02-28,74058,0.88,USA,1,1,0.000004
2026-02-28,74058,1.02,USA,569,417,0.002497
2026-02-28,74058,1.07,USA,1,1,0.000004
2026-02-28,74058,1.14,USA,13,13,0.000057
2026-02-28,74058,1.18,USA,1,1,0.000004
2026-02-28,74058,1.22,USA,42,31,0.000184
2026-02-28,74058,1.32,USA,251,190,0.001102
2026-02-28,74058,1.4,USA,14270,13223,0.062631
2026-03-01,74058,0.04,GDPR,719,570,0.007713
2026-03-01,74058,0.05,GDPR,275,126,0.002950
2026-03-01,74058,0.06,GDPR,22,18,0.000236
2026-03-01,74058,0.08,GDPR,32,1,0.000343
2026-03-01,74058,0.09,GDPR,602,264,0.006458
2026-03-01,74058,0.1,GDPR,1173,855,0.012583
2026-03-01,74058,0.11,GDPR,5663,4675,0.060747
2026-03-01,74058,0.12,GDPR,580,503,0.006222
2026-03-01,74058,0.13,GDPR,733,625,0.007863
2026-03-01,74058,0.16,GDPR,12456,9080,0.133615
2026-03-01,74058,0.17,GDPR,457,417,0.004902
2026-03-01,74058,0.18,GDPR,5772,4966,0.061916
2026-03-01,74058,0.19,GDPR,2229,1728,0.023910
2026-03-01,74058,0.2,GDPR,472,414,0.005063
2026-03-01,74058,0.21,GDPR,214,184,0.002296
2026-03-01,74058,0.22,GDPR,5573,4380,0.059781
2026-03-01,74058,0.23,GDPR,86,85,0.000923
2026-03-01,74058,0.24,GDPR,17,8,0.000182
2026-03-01,74058,0.25,GDPR,41931,33339,0.449792
2026-03-01,74058,0.26,GDPR,6397,5456,0.068620
2026-03-01,74058,0.32,GDPR,2245,1567,0.024082
2026-03-01,74058,0.34,GDPR,85,82,0.000912
2026-03-01,74058,0.36,GDPR,561,529,0.006018
2026-03-01,74058,0.38,GDPR,219,161,0.002349
2026-03-01,74058,0.4,GDPR,45,38,0.000483
2026-03-01,74058,0.42,GDPR,30,28,0.000322
2026-03-01,74058,0.44,GDPR,630,517,0.006758
2026-03-01,74058,0.5,GDPR,3356,2578,0.036000
2026-03-01,74058,0.52,GDPR,648,527,0.006951
2026-03-01,74058,0.54,GDPR,1,1,0.000011
2026-03-01,74058,0.04,Other,16491,6354,0.018424
2026-03-01,74058,0.05,Other,110779,66315,0.123761
2026-03-01,74058,0.06,Other,648384,403446,0.724370
2026-03-01,74058,0.07,Other,49838,36008,0.055679
2026-03-01,74058,0.08,Other,3799,2386,0.004244
2026-03-01,74058,0.09,Other,8524,5312,0.009523
2026-03-01,74058,0.1,Other,27323,17753,0.030525
2026-03-01,74058,0.11,Other,49,19,0.000055
2026-03-01,74058,0.12,Other,23685,14544,0.026461
2026-03-01,74058,0.14,Other,2444,1811,0.002730
2026-03-01,74058,0.16,Other,352,208,0.000393
2026-03-01,74058,0.17,Other,20,18,0.000022
2026-03-01,74058,0.18,Other,323,152,0.000361
2026-03-01,74058,0.19,Other,68,8,0.000076
2026-03-01,74058,0.2,Other,1953,1104,0.002182
2026-03-01,74058,0.22,Other,1,1,0.000001
2026-03-01,74058,0.25,Other,22,22,0.000025
2026-03-01,74058,0.29,Other,277,268,0.000309
2026-03-01,74058,0.3,Other,1,0,0.000001
2026-03-01,74058,0.31,Other,39,32,0.000044
2026-03-01,74058,0.34,Other,58,55,0.000065
2026-03-01,74058,0.46,Other,55,55,0.000061
2026-03-01,74058,0.5,Other,13,13,0.000015
2026-03-01,74058,0.51,Other,406,342,0.000454
2026-03-01,74058,0.52,Other,27,27,0.000030
2026-03-01,74058,0.53,Other,35,0,0.000039
2026-03-01,74058,0.58,Other,3,3,0.000003
2026-03-01,74058,0.62,Other,1,1,0.000001
2026-03-01,74058,0.92,Other,1,0,0.000001
2026-03-01,74058,1,Other,1,1,0.000001
2026-03-01,74058,1.02,Other,126,36,0.000141
2026-03-01,74058,1.04,Other,3,1,0.000003
2026-03-01,74058,0.04,TIER_1,1508,1300,0.014034
2026-03-01,74058,0.05,TIER_1,138,132,0.001284
2026-03-01,74058,0.06,TIER_1,1362,1199,0.012675
2026-03-01,74058,0.07,TIER_1,381,357,0.003546
2026-03-01,74058,0.08,TIER_1,17,17,0.000158
2026-03-01,74058,0.09,TIER_1,9,9,0.000084
2026-03-01,74058,0.1,TIER_1,45,45,0.000419
2026-03-01,74058,0.12,TIER_1,52,48,0.000484
2026-03-01,74058,0.14,TIER_1,5,5,0.000047
2026-03-01,74058,0.15,TIER_1,1,1,0.000009
2026-03-01,74058,0.16,TIER_1,88,78,0.000819
2026-03-01,74058,0.17,TIER_1,1514,1299,0.014090
2026-03-01,74058,0.18,TIER_1,29,26,0.000270
2026-03-01,74058,0.2,TIER_1,806,724,0.007501
2026-03-01,74058,0.23,TIER_1,10,8,0.000093
